Case Number,Type,Status,Project Name,Issued Date,Applied Date,Expiration Date,Finalized Date,Module Name,Company Name,Company Type,Address,Main Parcel,Description,DBA
BTR-23-04588,Local Business Tax Receipt,Submitted - Online,,,10/11/2023,,,License,AXTION ROOFING CONTRACTOR,Limited Liability Company (LLC),830 SW 6 ST HALLANDALE BEACH FL 33009,514228000461,roofing,
BTR-22-00617,Local Business Tax Receipt - Professionals,Void,,,9/7/2022,,,License,Kelly Roofing LLC,Limited Liability Company (LLC),400 S FEDERAL HWY HALLANDALE BEACH FL 33009,514227420010,roofing contractor,Kelly Roofing
BTR-24-07042,Local Business Tax Receipt,Pending CU,,,10/14/2024,1/1/2999,,License,M3 Roofing,Limited Liability Company (LLC),925 SW 8 ST Unit: A-D HALLANDALE BEACH FL 33009,514228030042,"roofing contractor located at 4428 sw 74 avenue, miami, fl 33155",M3 Roofing
BRFG-19-03612,Building Roofing - Shingle,Finaled,,9/4/2019,5/23/2019,3/4/2020,9/6/2019,Permit,,,308 NW 3 CT HALLANDALE BEACH FL 33009,514221110085,roofing,
2004-1407-BDRC-0,Building Roofing - Combo,CO Issued,,10/28/2004,4/13/2004,7/11/2005,1/26/2005,Permit,,,990 S FEDERAL HWY Hallandale Beach FL 33009,514227460010,roofing,
2007-2159-NBRR-0,Building Roofing - Combo,Finaled,,8/8/2007,7/27/2007,11/2/2008,9/2/2011,Permit,,,VACANT Hallandale Beach FL 33009,514228000091,roofing,
BRFG-19-03313,Building Roofing - Shingle,Finaled,,8/26/2019,5/17/2019,6/23/2020,3/25/2020,Permit,,,809 NW 10 ST HALLANDALE BEACH FL 33009,514221230140,roofing,
2006-2472-BDRR-0,Building Roofing - Combo,CO Issued,,11/13/2006,6/29/2006,10/20/2007,4/23/2007,Permit,,,136 NW 4 AVE Hallandale Beach FL 33009,514228020710,roofing,
2008-0077-NBRR-0,Building Roofing - Combo,Finaled,,10/24/2007,10/10/2007,6/4/2008,7/22/2011,Permit,,,401 NE 14 AVE Hallandale Beach FL 33009,514222DB0000,roofing,
BRFG-17-02765,Building Roofing - Built-Up,Finaled,,7/20/2017,7/11/2017,2/19/2018,8/23/2017,Permit,,,804 NW 9 ST HALLANDALE BEACH FL 33009,514221230330,roofing,
2007-1355-NBRR-0,Building Roofing - Combo,Finaled,,4/30/2007,4/17/2007,10/27/2007,7/22/2011,Permit,,,315 NW 7 ST Hallandale Beach FL 33009,514221170010,roofing,
BRFG-16-03129,Building Roofing - Shingle,Finaled,,4/19/2016,4/19/2016,11/7/2016,5/10/2016,Permit,,,221 SW 9 AVE HALLANDALE BEACH FL 33009,514228410270,roofing,
2007-2179-NBRC-0,Building Roofing - Combo,Finaled,,8/2/2007,7/30/2007,1/29/2008,7/22/2011,Permit,,,117 W HALLANDALE BEACH BLVD Hallandale Beach FL 33009,514228021720,roofing,
2014-2154-NRPR-0,Building Roofing - Combo,Finaled,,2/6/2015,7/7/2014,6/27/2016,12/28/2015,Permit,,,213 SW 3 AVE Hallandale Beach FL 33009,514228022750,roofing,
2007-1673-NBRR-0,Building Roofing - Combo,Finaled,,5/24/2007,5/21/2007,11/20/2007,7/22/2011,Permit,,,901 SW 8 ST Hallandale Beach FL 33009,514228030020,roofing,
2012-2086-NRPC-0,Building Roofing - Combo,Finaled,,3/20/2013,7/30/2012,10/16/2013,4/19/2013,Permit,,,704 E HALLANDALE BEACH BLVD Hallandale Beach FL 33009,514227370010,roofing,
2007-1809-NBRR-0,Building Roofing - Combo,Finaled,,6/18/2007,6/7/2007,12/15/2007,7/22/2011,Permit,,,401 SW 7 ST Hallandale Beach FL 33009,514228330100,roofing,
2007-2108-NBRR-0,Building Roofing - Combo,VOID,,8/7/2007,7/20/2007,2/3/2008,5/9/2023,Permit,,,912 NE 2 CT Hallandale Beach FL 33009,514222360730,roofing,
2009-0500-NRPC-0,Building Roofing - Combo,Finaled,,2/12/2009,1/5/2009,9/17/2009,7/22/2011,Permit,,,270 LAYNE BLVD Hallandale Beach FL 33009,514226DJ0000,roofing,
2007-1074-NBRC-0,Building Roofing - Combo,Finaled,,5/8/2007,3/9/2007,11/4/2007,7/22/2011,Permit,,,220 S FEDERAL HWY Hallandale Beach FL 33009,514227010660,roofing,
2007-2325-NBRR-0,Building Roofing - Combo,Finaled,,8/30/2007,8/22/2007,2/26/2008,7/22/2011,Permit,,,302 NW 9 ST Hallandale Beach FL 33009,514221040390,roofing,
2004-0648-BDRR-0,Building Roofing - Combo,VOID,,1/5/2004,1/5/2004,7/14/2004,10/24/2019,Permit,,,437 TAMARIND DR Hallandale Beach FL 33009,514226051040,roofing ,
2007-2162-NBRR-0,Building Roofing - Combo,Finaled,,8/23/2007,7/27/2007,10/26/2009,7/22/2011,Permit,,,1004 NW 6 TER Hallandale Beach FL 33009,514221240060,roofing,
2014-0692-NRPR-0,Building Roofing - Combo,Finaled,,3/10/2014,1/6/2014,2/10/2015,8/15/2014,Permit,,,22 NW 10 ST Hallandale Beach FL 33009,514222300190,roofing,
2013-2003-NBRC-0,Building Roofing - Combo,Finaled,,4/11/2014,6/13/2013,5/18/2015,9/9/2014,Permit,,,777 NW 1 AVE Hallandale Beach FL 33009,514222050100,roofing,
2012-1748-NRPR-0,Building Roofing - Combo,Finaled,,10/12/2012,6/12/2012,9/1/2013,3/5/2013,Permit,,,714 NE 10 ST Hallandale Beach FL 33009,514222CH0000,roofing,
BRFG-19-00836,Building Roofing - Built-Up,Finaled,,3/1/2019,2/15/2019,11/5/2019,5/9/2019,Permit,,,1025 NW 8 ST HALLANDALE BEACH FL 33009,514221290280,roofing,
2013-2778-NRPR-0,Building Roofing - Combo,Expired,,11/1/2013,8/22/2013,5/24/2015,,Permit,,,2001 S OCEAN DR Hallandale Beach FL 33009,514226NN0000,roofing,
2007-1320-NBRR-0,Building Roofing - Combo,Finaled,,4/19/2007,4/11/2007,10/16/2007,7/22/2011,Permit,,,609 NE 14 AVE Unit: POOL Hallandale Beach FL 33009,514222030171,roofing,
2007-2459-NBRR-0,Building Roofing - Combo,Finaled,,9/20/2007,9/12/2007,3/18/2008,7/22/2011,Permit,,,501 LESLIE DR Hallandale Beach FL 33009,514223140580,roofing,
