ParcelID,WorkType,Contractor,Status,Applied Date
494111100371,REROOF SHINGLES,A & A ROOFING CONTRACTORS INC,CLOSED,06/01/17
494104670224,REROOF SHINGLES ONLY,A & J ROOFING CORP,CLOSED,02/03/16
494103050230,SEE 19-242 REROOF FLAT,A & J ROOFING CORP,DUPLICATE,01/16/19
494103050230,REROOF FLAT,A & J ROOFING CORP,CLOSED,01/16/19
494113100880,RE-ROOF SHINGLE & FLAT,A & J ROOFING CORP,APPROVED,04/11/22
494104AB0210,REROOF FLAT ONLY,A & M FOX ROOFING,CLOSED,06/05/14
494106012240,REROOF TILE AND FLAT,A & M FOX ROOFING,CLOSED,10/24/14
494105330830,REROOF TILE ONLY,A & M FOX ROOFING,CLOSED,02/29/16
494113111680,REROOF SHINGLE AND FLAT,A & M FOX ROOFING,CLOSED,04/13/16
494108051480,REROOF SHINGLES,A & M FOX ROOFING,CLOSED,12/12/16
494108051350,REROOF FLAT,A & M FOX ROOFING,CLOSED,07/10/18
494108110190,REROOF SHINGLE/3200 SF,A & M FOX ROOFING,CLOSED,11/22/06
494105050330,REROOF SHINGLE AND FLAT,A & M FOX ROOFING INC,CLOSED,02/02/18
494114020540,REROOF FLAT AND TILE,A & M FOX ROOFING INC,CLOSED,03/13/18
494113090230,RE-ROOFING FLAT,A & M FOX ROOFING INC,CLOSED,03/19/20
494103031590,REROOF TILE AND FLAT,A & M FOX ROOFING INC,APPROVED,12/16/22
494109050920,REROOF FLAT,A & M FOX ROOFING INC,CLOSED,03/29/23
494110042960,REROOF SHINGLE & FLAT,A & M FOX ROOFING INC,CLOSED,04/18/23
494216090890,RE-ROOF SHINGLE AND FLAT,A CROWN ROOFING,CLOSED,01/23/20
494103182170,ROOF /SEE 01-3608,A GOOD REROOFING SVS INC,VOID,01/28/00
494103182170,FLA RM W/EL-BRADY,HOME OWNER,CLOSED,02/23/00
494103182510,PAILLANT/ROOF,A GOOD REROOFING SVS INC,CLOSED,03/29/00
494103060710,FIRE DAMAGE/BIBBER,ACE CRAFT CONSTRUCTION INC,CLOSED,07/31/00
494104210390,ROZS/ROOF,A GOOD REROOFING SVS INC,CLOSED,10/26/00
494106021120,ZAVATTARO/ROOF,A GOOD REROOFING SVS INC,CLOSED,05/21/01
494103182170,BRADY/REROOF 3000 SF,A GOOD REROOFING SVS INC,CLOSED,10/18/01
494111090050,WALKER/ROOF,A GOOD REROOFING SVS INC,CLOSED,10/18/01
494111100113,KURLAND/ROOF,A GOOD REROOFING SVS INC,CLOSED,10/18/01
494111100112,KOSILLA/STERN/ROOF,A GOOD REROOFING SVS INC,CLOSED,10/18/01
494110020320,GLICK/REROOF,A GOOD REROOFING SVS INC,CLOSED,01/23/03
494104AA0460,VALENTINE/REROOF,A GOOD REROOFING SVS INC,CLOSED,02/19/04
