parcel_id,situs_address,year_built,county_code,property_use,lot_size,building_area
474135010091,"BLUERIDGE LN, PARKLAND 33076",0,16,063,552829,0
474135010080,"NW 72 ST, PARKLAND 33076",0,16,094,192764,0
474134000012,"NW 81 ST, UNINCORPORATED 33076",0,16,052,660232,0
474134000010,"NW 84 AVE, UNINCORPORATED 33067",0,16,052,6858003,0
474134000011,"UNIVERSITY DR, UNINCORPORATED 33076",0,16,052,9357608,0
474133010015,"HILLSBORO BLVD, PARKLAND 33076",0,16,094,547276,0
474133010016,"COUNTY LINE RD, PARKLAND 33076",0,16,094,26604,0
474132000039,"HILLSBORO BLVD, PARKLAND 33076",0,16,094,626988,0
474131010011,"COUNTY LINE RD, PARKLAND 33076",0,16,094,450,0
474131010012,"COUNTY LINE RD, PARKLAND 33076",0,16,094,150,0
474133020050,"UNIVERSITY DR, PARKLAND 33076",0,16,094,127197,0
474133020050,"UNIVERSITY DR, PARKLAND 33076",0,16,094,127197,0
474133020050,"UNIVERSITY DR, PARKLAND 33076",0,16,094,127197,0
474132023140,"ACCESS RD, PARKLAND 33076",0,16,094,585060,0
474132000034,"10980 W HILLSBORO BLVD, PARKLAND 33076",2003,16,091,111611,3916
474132000016,"11000 W HILLSBORO BLVD, PARKLAND 33076",2001,16,091,174252,400
474132000022,"ACCESS RD, PARKLAND 33076",0,16,094,27132,0
474131051910,"NW 123 WAY, PARKLAND 33076",0,16,009,21698,0
474133054620,"COUNTY LINE RD, PARKLAND 33076",0,16,095,60146,0
474133053120,"9421 EDEN MNR, PARKLAND 33076",2006,16,001,10398,3619
474133053130,"9431 EDEN MNR, PARKLAND 33076",2015,16,001,9640,4310
474133053140,"9441 EDEN MNR, PARKLAND 33076",2007,16,001,9525,4775
474133053150,"9451 EDEN MNR, PARKLAND 33076",2006,16,001,10162,3743
474133053160,"9461 EDEN MNR, PARKLAND 33076",2007,16,001,11618,3765
474133053170,"9481 EDEN MNR, PARKLAND 33076",2006,16,001,13765,4772
474133053180,"9521 EDEN MNR, PARKLAND 33076",2006,16,001,12035,4079
474133053270,"9639 CLEMMONS ST, PARKLAND 33076",2007,16,001,16836,5040
474133053280,"9659 CLEMMONS ST, PARKLAND 33076",2007,16,001,12893,4713
474133053110,"9411 EDEN MNR, PARKLAND 33076",2007,16,001,11778,5149
474133053190,"9531 EDEN MNR, PARKLAND 33076",2007,16,001,16836,4317
474133053330,"9767 CLEMMONS ST, PARKLAND 33076",2006,16,001,16625,4215
474133054610,"EDEN MNR, PARKLAND 33076",0,16,095,313187,0
474133053100,"9401 EDEN MNR, PARKLAND 33076",2007,16,001,12809,3937
474133053090,"9381 EDEN MNR, PARKLAND 33076",2006,16,001,12056,4209
474133053080,"9361 EDEN MNR, PARKLAND 33076",2007,16,001,16328,4682
474133053320,"9737 CLEMMONS ST, PARKLAND 33076",2006,16,001,11668,3619
474133053290,"9679 CLEMMONS ST, PARKLAND 33076",2006,16,001,12347,4870
474133053300,"9699 CLEMMONS ST, PARKLAND 33076",2006,16,001,10746,3937
474133051340,"10385 CAMEILLA ST, PARKLAND 33076",2014,16,001,9284,2692
474133051350,"10395 CAMEILLA ST, PARKLAND 33076",2015,16,001,7268,3486
474132020250,"10555 NW 83 CT, PARKLAND 33076",2005,16,001,8250,3665
474131051990,"ACCESS RD, PARKLAND 33076",0,16,095,114461,0
474132020240,"10575 NW 83 CT, PARKLAND 33076",2005,16,001,6699,2591
474132020260,"10545 NW 83 CT, PARKLAND 33076",2005,16,001,11022,3524
474132020230,"10595 NW 83 CT, PARKLAND 33076",2005,16,001,6716,3265
474132020220,"10615 NW 83 CT, PARKLAND 33076",2005,16,001,6989,3607
474132020210,"10625 NW 83 CT, PARKLAND 33076",2004,16,001,7199,2591
474133051360,"10415 CAMEILLA ST, PARKLAND 33076",2014,16,001,7882,3486
474132020200,"10635 NW 83 CT, PARKLAND 33076",2005,16,001,7344,2725
474133053310,"9707 CLEMMONS ST, PARKLAND 33076",2007,16,001,11697,4712
474132020190,"10645 NW 83 CT, PARKLAND 33076",2005,16,001,7426,3265
474132020180,"10655 NW 83 CT, PARKLAND 33076",2005,16,001,7443,3061
474132020170,"10665 NW 83 CT, PARKLAND 33076",2006,16,001,7396,3564
474132020160,"10675 NW 83 CT, PARKLAND 33076",2005,16,001,7285,3061
474133052380,"10010 BAY LEAF CT, PARKLAND 33076",2019,16,001,13283,4561
474132020150,"10685 NW 83 CT, PARKLAND 33076",2005,16,001,7109,2725
474132020140,"10705 NW 83 CT, PARKLAND 33076",2005,16,001,6869,3606
474133052390,"10020 BAY LEAF CT, PARKLAND 33076",2019,16,001,12354,4561
474132020130,"10715 NW 83 CT, PARKLAND 33076",2005,16,001,6618,2765
474133051370,"8351 CANOPY TER, PARKLAND 33076",2015,16,001,8053,3563
474132020120,"10725 NW 83 CT, PARKLAND 33076",2005,16,001,6844,2989
474133052400,"10030 BAY LEAF CT, PARKLAND 33076",2019,16,001,12354,4916
474132020110,"10735 NW 83 CT, PARKLAND 33076",2005,16,001,8683,3265
474133051380,"8341 CANOPY TER, PARKLAND 33076",2013,16,001,12884,3654
474133051120,"10115 CAMEILLA ST, PARKLAND 33076",2013,16,001,13935,3556
474132020100,"10745 NW 83 CT, PARKLAND 33076",2006,16,001,9643,3564
474132020090,"10755 NW 83 CT, PARKLAND 33076",2005,16,001,7652,3265
474133053340,"9797 CLEMMONS ST, PARKLAND 33076",2006,16,001,16836,3619
474133052410,"10040 BAY LEAF CT, PARKLAND 33076",2007,16,001,21441,5623
