Storm,Category,Date of Impact,Year,Landfall Winds,Location(s)
Great Middle Florida,3,23-Aug,1851,100,Panama City
Unnamed,3,17-Aug,1871,100,Jupiter Island
Unnamed,3,7-Oct,1873,100,Captiva Island
Unnamed,3,3-Oct,1877,100,Panama City
Unnamed,3,10-Sep,1882,110,Navarre
Unnamed,3,16-Aug,1888,110,Miami Beach
Unnamed,3,9-Oct,1894,105,Panama City
Unnamed,3,29-Sep,1896,110,Cedar Key
Unnamed,3,18-Oct,1906,105,Marathon
Unnamed,3,18-Oct,1906,105,East of Flamingo
Unnamed,3,11-Oct,1909,100,Marathon
Unnamed,3,29-Sep,1917,100,Fort Walton Beach
Florida Keys,4,10-Sep,1919,130,Dry Tortugas
Tampa Bay,3,25-Oct,1921,100,Tarpon Springs
Great Miami,4,20-Sep,1926,125,Perrine
Okeechobee,4,17-Sep,1928,125,Palm Beach
Unnamed,3,28-Sep,1929,100,Tavernier
Unnamed,3,4-Sep,1933,110,Jupiter
Labor Day,5,3-Sep,1935,160,Craig Key
Unnamed,3,18-Oct,1944,105,Dry Tortugas
Unnamed,4,15-Sep,1945,115,North Key Largo
Unnamed,4,15-Sep,1945,115,Homestead
Unnamed,4,17-Sep,1947,115,Fort Lauderdale
Unnamed,4,22-Sep,1948,115,East of Chokoloskee
Unnamed,4,26-Aug,1949,115,Lake Worth
Easy,3,5-Sep,1950,105,East of Cedar Key
King,4,18-Oct,1950,115,Miami
Donna,4,10-Sep,1960,125,Conch Key
Betsy,3,8-Sep,1965,100,Tavernier
Alma,3,8-Jun,1966,100,Dry Tortugas
Eloise,3,23-Sep,1975,110,East of Destin
Elena,3,2-Sep,1985,100,"Gulfport, Mississippi"
Andrew,5,24-Aug,1992,145,Elliott Key
Andrew,5,24-Aug,1992,145,North of Homestead
Opal,3,4-Oct,1995,100,Pensacola Beach
Charley,4,13-Aug,2004,130,Cayo Costa
Charley,4,13-Aug,2004,130,Punta Gorda
Ivan,3,16-Sep,2004,105,"West of Gulf Shores, Alabama"
Jeanne,3,26-Sep,2004,105,Hutchinson Island
Dennis,3,10-Jul,2005,105,Santa Rosa Island
Wilma,3,24-Oct,2005,105,Cape Romano
Irma,4,10-Sep,2017,115,Cudjoe Key
Irma,4,10-Sep,2017,115,Marco Island
Michael,5,10-Oct,2018,140,West of Mexico Beach
Ian,4,28-Sep,2022,130,Cayo Costa
Ian,4,28-Sep,2022,130,Punta Gorda
Idalia,3,30-Aug,2023,100,Keaton Beach
Helene,4,27-Sep,2024,120,Southwest of Perry
Milton,3,9-Oct,2024,100,Siesta Key
