Case Number,Type,Status,Project Name,Issued Date,Applied Date,Expiration Date,Finalized Date,Module Name,Address
23-00557,Residential Revision,Complete,,,1/17/2023,,1/19/2023,Permit,16131 NW 15 ST
25-00716,Residential Revision,Complete,,,1/23/2025,,1/30/2025,Permit,101  121 SW 184 PL
25-00868,Residential Revision,Complete,,,1/28/2025,,1/30/2025,Permit,125  145 SW 184
25-09717,Residential Revision,Complete,,,10/9/2025,,10/14/2025,Permit,1328 NW 159 AVE
25-10382,Residential Revision,Complete,,,10/30/2025,,11/5/2025,Permit,1550 NW 78 AVE
BUL-100017,RESIDENTIAL MISCELLANEOUS (LEGACY) - RESIDENTIAL PORCH ROOF - LEGACY,Complete,,8/20/2015,6/9/2015,2/16/2016,5/5/2025,Permit,1901 NW 108 Ave
BUL-10004,Residential Re-Roofing,Complete,,7/15/2010,6/28/2010,1/11/2011,7/15/2010,Permit,220 NW 198TH AVE
BUL-100045,Residential Re-Roofing,Complete,,6/25/2015,6/9/2015,12/22/2015,5/2/2025,Permit,11711 SW 10 St
BUL-100104,Residential Re-Roofing,Complete,,6/29/2015,6/10/2015,12/26/2015,5/5/2025,Permit,1271 WILSHIRE Cir
BUL-100105,Residential Re-Roofing,Complete,,6/30/2015,6/10/2015,12/27/2015,5/2/2025,Permit,17325 NW 7 st
BUL-10011,Residential Re-Roofing,Complete,,7/12/2010,6/28/2010,1/8/2011,5/3/2025,Permit,8420 NW 16 ST
BUL-100186,Residential Re-Roofing,Complete,,7/2/2015,6/10/2015,12/29/2015,5/1/2025,Permit,1821 NW 111 Ave
BUL-10029,Residential Re-Roofing,Complete,,7/6/2010,6/28/2010,1/2/2011,7/6/2010,Permit,101 SW 65 WAY
BUL-100320,RESIDENTIAL MISCELLANEOUS (LEGACY) - RESIDENTIAL PORCH ROOF - LEGACY,Complete,,,6/15/2015,12/12/2015,1/8/2024,Permit,2111 NW 76 TER
BUL-100370,Residential Re-Roofing,Complete,,6/25/2015,6/15/2015,12/22/2015,5/4/2025,Permit,1420 NW 86 Ter
BUL-100381,Residential Re-Roofing,Complete,,7/1/2015,6/15/2015,12/28/2015,5/5/2025,Permit,2350 ALLAMANDA CT
BUL-100420,Residential Re-Roofing,Complete,,6/30/2015,6/15/2015,12/27/2015,5/3/2025,Permit,18846 NW 2 St
BUL-100473,Residential Re-Roofing,Complete,,7/7/2015,6/16/2015,1/3/2016,7/7/2015,Permit,101 NW 162 Ave
BUL-100526,Residential Re-Roofing,Complete,,7/2/2015,6/16/2015,12/29/2015,5/4/2025,Permit,11800 NW 13 St
BUL-100590,Residential Re-Roofing,Complete,,7/20/2015,6/17/2015,1/16/2016,7/20/2015,Permit,431 SW 68 Blvd
BUL-100600,Residential Re-Roofing,Complete,,6/18/2015,6/17/2015,12/15/2015,5/2/2025,Permit,16147 NW 14 Ct
BUL-100669,Residential Re-Roofing,Complete,,7/6/2015,6/18/2015,1/2/2016,5/4/2025,Permit,9941 SW 7 St
BUL-100768,Residential Re-Roofing,Complete,,7/2/2015,6/18/2015,12/29/2015,7/2/2015,Permit,9411 SW 8 St
BUL-100834,Residential Re-Roofing,Complete,,7/13/2015,6/22/2015,1/9/2016,5/4/2025,Permit,1831 NW 106 Ave
BUL-100865,Residential Re-Roofing,Complete,,7/7/2015,6/22/2015,1/3/2016,5/5/2025,Permit,11707 NW 12 St
BUL-100872,Residential Re-Roofing,Complete,,7/6/2015,6/22/2015,1/2/2016,5/4/2025,Permit,960 SW 87 Ave
BUL-100934,Residential Re-Roofing,Complete,,6/25/2015,6/22/2015,12/22/2015,5/3/2025,Permit,10351 NW 18 Pl
BUL-100972,Residential Re-Roofing,Complete,,7/9/2015,6/23/2015,1/5/2016,5/3/2025,Permit,18315 SW 4 Ct
BUL-101011,Residential Re-Roofing,Complete,,7/6/2015,6/23/2015,1/2/2016,5/5/2025,Permit,6944 SW 10 Ct
BUL-101072,Residential Re-Roofing,Complete,,7/29/2015,6/24/2015,1/25/2016,5/3/2025,Permit,1608 SW 149 Ave
BUL-101178,Residential Re-Roofing,Complete,,7/14/2015,6/24/2015,1/10/2016,5/5/2025,Permit,17840 NW 15 Ct
BUL-101190,Residential Re-Roofing,Complete,,7/9/2015,6/24/2015,1/5/2016,5/1/2025,Permit,1097 NW 98 TER
BUL-101285,RESIDENTIAL MISCELLANEOUS (LEGACY) - RESIDENTIAL PORCH ROOF - LEGACY,Complete,,8/10/2015,6/25/2015,2/6/2016,5/2/2025,Permit,6812 SW 10 Ct
BUL-101298,Residential Awning/Canopy/Framed Aluminum Roof,Complete,,7/30/2015,6/25/2015,1/26/2016,5/2/2025,Permit,17314 SW 7 St
BUL-101300,Residential Awning/Canopy/Framed Aluminum Roof,Complete,,8/5/2015,6/25/2015,2/1/2016,5/4/2025,Permit,900 SW 86 Ave
BUL-101319,Residential Re-Roofing,Complete,,7/6/2015,6/25/2015,1/2/2016,7/6/2015,Permit,5410 SW 199 Ave
BUL-101320,Residential Re-Roofing,Complete,,7/14/2015,6/25/2015,1/10/2016,5/1/2025,Permit,5211 SW 199 Ave
BUL-101339,Residential Re-Roofing,Complete,,7/14/2015,6/25/2015,1/10/2016,5/4/2025,Permit,905 NW 164 Ave
BUL-101348,Residential Re-Roofing,Complete,,7/15/2015,6/25/2015,1/11/2016,5/3/2025,Permit,330 SW 100 Ter
BUL-101462,Residential Re-Roofing,Complete,,7/14/2015,6/29/2015,1/10/2016,5/4/2025,Permit,8340 NW 11 St
BUL-101510,Residential Re-Roofing,Complete,,7/14/2015,6/29/2015,1/10/2016,5/23/2024,Permit,10320 SW 15 St
BUL-101664,Residential Re-Roofing,Complete,,7/6/2015,6/30/2015,1/2/2016,5/3/2025,Permit,2201 NW 102 Ave
BUL-101672,Residential Re-Roofing,Complete,,7/16/2015,6/30/2015,1/12/2016,5/2/2025,Permit,11040 NW 17 Ct
BUL-101714,Residential Re-Roofing,Complete,,7/15/2015,6/30/2015,1/11/2016,5/2/2025,Permit,9830 SW 14 St
BUL-101722,Residential Re-Roofing,Complete,,8/26/2015,6/30/2015,2/22/2016,5/4/2025,Permit,8630 NW 14 St
BUL-101737,Residential Re-Roofing,Complete,,7/20/2015,7/1/2015,1/16/2016,5/2/2025,Permit,6530 SW 9 st
BUL-10181,Residential Re-Roofing,Complete,,7/1/2010,7/1/2010,12/28/2010,7/1/2010,Permit,11721 NW 23 ST
BUL-101852,Residential Re-Roofing,Complete,,7/29/2015,7/2/2015,1/25/2016,5/1/2025,Permit,1574 FAIRWAY Rd
BUL-101879,Residential Re-Roofing,Complete,,8/5/2015,7/2/2015,2/1/2016,5/4/2025,Permit,18537 NW 19 St
BUL-101908,Residential Re-Roofing,Complete,,7/7/2015,7/6/2015,1/3/2016,5/4/2025,Permit,311 NW 92 Ave
BUL-101943,Residential Re-Roofing,Complete,,7/21/2015,7/6/2015,1/17/2016,5/5/2025,Permit,1750 NW 107 Ave
BUL-101945,Residential Re-Roofing,Complete,,,7/6/2015,1/2/2016,5/2/2025,Permit,6812 SW 10 Ct
BUL-101950,Residential Re-Roofing,Complete,,7/20/2015,7/6/2015,1/16/2016,5/3/2025,Permit,1840 ACORN Ln
BUL-101966,Residential Re-Roofing,Complete,,7/7/2015,7/7/2015,1/3/2016,5/4/2025,Permit,1135 NW 174 Ave
BUL-102165,Residential Re-Roofing,Complete,,7/21/2015,7/9/2015,1/17/2016,5/3/2025,Permit,11238 NW 14 Ct
BUL-102293,Residential Re-Roofing,Complete,,7/28/2015,7/14/2015,1/24/2016,5/1/2025,Permit,20261 NW 4 St
BUL-102296,Residential Re-Roofing,Complete,,7/23/2015,7/14/2015,1/19/2016,5/2/2025,Permit,20340 NW 2 St
BUL-102297,Residential Re-Roofing,Complete,,8/5/2015,7/14/2015,2/1/2016,5/4/2025,Permit,10181 NW 21 Ct
BUL-102305,Residential Re-Roofing,Complete,,7/28/2015,7/14/2015,1/24/2016,5/5/2025,Permit,11749 NW 12 St
BUL-102335,Residential Re-Roofing,Complete,,7/16/2015,7/15/2015,1/12/2016,5/4/2025,Permit,1820 NW 112 Ter
BUL-102387,Residential Re-Roofing,Complete,,7/16/2015,7/15/2015,1/12/2016,5/5/2025,Permit,310 SW 71 Way
BUL-102422,Residential Re-Roofing,Complete,,8/5/2015,7/16/2015,2/1/2016,5/3/2025,Permit,612 SW 158 Ter
BUL-102428,Residential Re-Roofing,Complete,,7/28/2015,7/16/2015,1/24/2016,5/1/2025,Permit,10551 NW 22 St
BUL-102482,Residential Re-Roofing,Complete,,8/5/2015,7/20/2015,2/1/2016,5/3/2025,Permit,19921 NW 2 St
BUL-10255,Residential Re-Roofing,Complete,,7/8/2010,7/6/2010,1/4/2011,5/5/2025,Permit,8840 NW 3 ST
BUL-10263,Residential Re-Roofing,Complete,,7/15/2010,7/6/2010,1/11/2011,5/2/2025,Permit,1489 FAIRWAY ROAD ST
BUL-102745,Residential Re-Roofing,Complete,,8/5/2015,7/23/2015,2/1/2016,5/1/2025,Permit,10200 GREENHOUSE Rd
BUL-102796,Residential Re-Roofing,Complete,,8/17/2015,7/23/2015,2/13/2016,5/5/2025,Permit,11301 NW 16 Ct
BUL-102856,Residential Re-Roofing,Complete,,8/3/2015,7/27/2015,1/30/2016,5/1/2025,Permit,20763 NW 1 St
BUL-102876,Residential Re-Roofing,Complete,,8/5/2015,7/27/2015,2/1/2016,5/2/2025,Permit,12032 NW 13 St
BUL-102878,Residential Re-Roofing,Complete,,8/5/2015,7/27/2015,2/1/2016,5/1/2025,Permit,11829 NW 13 St
BUL-102882,Residential Re-Roofing,Complete,,8/4/2015,7/27/2015,1/31/2016,5/3/2025,Permit,7890 NW 12 St
BUL-10293,Residential Re-Roofing,Complete,,7/12/2010,7/6/2010,1/8/2011,5/3/2025,Permit,16279 NW 8TH DR
BUL-102959,Residential Re-Roofing,Complete,,8/12/2015,7/28/2015,2/8/2016,5/4/2025,Permit,8780 NW 12 St
BUL-10297,Residential Re-Roofing,Complete,,7/15/2010,7/7/2010,1/11/2011,5/2/2025,Permit,16174 NW 9th Drive
BUL-102980,Residential Re-Roofing,Complete,,8/10/2015,7/28/2015,2/6/2016,5/4/2025,Permit,6409 SW 7 st
BUL-102981,Residential Re-Roofing,Complete,,8/13/2015,7/28/2015,2/9/2016,5/1/2025,Permit,9811 SW 3 St
BUL-10309,Residential Re-Roofing,Complete,,7/13/2010,7/7/2010,1/9/2011,7/13/2010,Permit,10620 NW 20TH ST
BUL-103146,Residential Re-Roofing,Complete,,8/18/2015,7/30/2015,2/14/2016,5/4/2025,Permit,8801 NW 3 St
BUL-10316,Residential Re-Roofing,Complete,,8/4/2010,7/7/2010,1/31/2011,5/2/2025,Permit,7820 NW 15 ST
BUL-103165,Residential Re-Roofing,Complete,,8/19/2015,7/30/2015,2/15/2016,5/2/2025,Permit,1800 NW 117 Ter
BUL-103167,Residential Re-Roofing,Complete,,8/24/2015,7/30/2015,2/20/2016,5/5/2025,Permit,"100 SW 130 TER,"
BUL-103321,Residential Re-Roofing,Complete,,8/12/2015,8/4/2015,2/8/2016,5/3/2025,Permit,6848 SW 16 st
BUL-103371,Residential Re-Roofing,Complete,,8/11/2015,8/5/2015,2/7/2016,5/1/2025,Permit,6800 SW 15 St
BUL-103406,Residential Re-Roofing,Complete,,8/17/2015,8/5/2015,2/13/2016,5/4/2025,Permit,1631 NW 122 Ave
BUL-103456,Residential Re-Roofing,Complete,,8/17/2015,8/6/2015,2/13/2016,5/2/2025,Permit,8260 NW 13 St
BUL-10347,Residential Re-Roofing,Complete,,7/21/2010,7/7/2010,1/17/2011,5/5/2025,Permit,1514 SW 149 Ave
BUL-103616,Residential Re-Roofing,Complete,,8/20/2015,8/10/2015,2/16/2016,5/4/2025,Permit,20260 NW 3 St
BUL-103697,Residential Re-Roofing,Complete,,8/19/2015,8/11/2015,2/15/2016,5/1/2025,Permit,10401 NW 21 St
BUL-103723,Residential Re-Roofing,Complete,,8/20/2015,8/12/2015,2/16/2016,5/4/2025,Permit,451 NW 189 Ter
BUL-103756,Residential Re-Roofing,Complete,,8/26/2015,8/12/2015,2/22/2016,5/2/2025,Permit,1512 ENCINO Cir East
BUL-10379,Residential Re-Roofing,Complete,,7/15/2010,7/7/2010,1/11/2011,5/3/2025,Permit,940 NW 202ND AVE
BUL-103797,Residential Re-Roofing,Complete,,9/1/2015,8/12/2015,2/28/2016,5/5/2025,Permit,531 NW 207 Ter
BUL-10380,Residential Re-Roofing,Complete,,7/15/2010,7/7/2010,1/11/2011,5/4/2025,Permit,450 NW 197TH AVE
BUL-10381,Residential Re-Roofing,Complete,,7/15/2010,7/7/2010,1/11/2011,5/3/2025,Permit,19010 SW 4 ST
BUL-103816,RESIDENTIAL MISCELLANEOUS (LEGACY) - RESIDENTIAL PORCH ROOF - LEGACY,Complete,,,8/13/2015,2/9/2016,1/8/2024,Permit,2111 NW 76 Ter
BUL-103842,Residential Re-Roofing,Complete,,8/24/2015,8/13/2015,2/20/2016,5/3/2025,Permit,1225 NW 123 Ter
BUL-103939,Residential Re-Roofing,Complete,,8/24/2015,8/17/2015,2/20/2016,8/24/2015,Permit,8261 NW 15 St
BUL-103945,Residential Re-Roofing,Complete,,8/20/2015,8/17/2015,2/16/2016,5/2/2025,Permit,7041 SW 13 St
BUL-10398,Residential Re-Roofing,Complete,,7/21/2010,7/8/2010,1/17/2011,7/21/2010,Permit,6500 SW 4 ST
BUL-104164,Residential Re-Roofing,Complete,,8/27/2015,8/19/2015,2/23/2016,8/27/2015,Permit,610 SW 69 Way
BUL-104204,Residential Re-Roofing,Complete,,8/31/2015,8/20/2015,2/27/2016,5/4/2025,Permit,2340 OAK Ct.
BUL-104206,Residential Re-Roofing,Complete,,9/3/2015,8/20/2015,3/1/2016,5/3/2025,Permit,1201 NW 78 Ave
BUL-104239,Residential Re-Roofing,Complete,,8/31/2015,8/20/2015,2/27/2016,8/31/2015,Permit,10621 NW 20 st
BUL-104302,Residential Re-Roofing,Complete,,8/31/2015,8/24/2015,2/27/2016,5/1/2025,Permit,811 NW 172 Ter
BUL-10442,Residential Re-Roofing,Complete,,7/15/2010,7/12/2010,1/11/2011,5/2/2025,Permit,2177 NW 139 AVE
BUL-10446,Residential Re-Roofing,Complete,,7/19/2010,7/12/2010,1/15/2011,5/3/2025,Permit,8150 TAFT ST ST
BUL-10454,Residential Re-Roofing,Complete,,7/20/2010,7/12/2010,1/16/2011,5/1/2025,Permit,17261 NW 6 ST
BUL-104542,Residential Re-Roofing,Complete,,9/3/2015,8/26/2015,3/1/2016,5/5/2025,Permit,10030 SW 12 St
BUL-104548,Residential Re-Roofing,Complete,,9/3/2015,8/26/2015,3/1/2016,5/3/2025,Permit,1480 SW 104 ave
BUL-104590,Residential Re-Roofing,Complete,,9/3/2015,8/27/2015,3/1/2016,5/3/2025,Permit,8550 TAFT St.
BUL-10468,Residential Re-Roofing,Complete,,7/15/2010,7/12/2010,1/11/2011,5/2/2025,Permit,1601 E SANDPIPER CIR
BUL-10470,Residential Re-Roofing,Complete,,7/22/2010,7/12/2010,1/18/2011,5/4/2025,Permit,7681 NW 11 CT
BUL-104714,Residential Re-Roofing,Complete,,9/24/2015,8/31/2015,3/22/2016,5/5/2025,Permit,400 NW 93 Ter
BUL-104776,Residential Re-Roofing,Complete,,9/16/2015,9/1/2015,3/14/2016,5/3/2025,Permit,20241 SW 51 Ct
BUL-104797,Residential Re-Roofing,Complete,,11/2/2015,9/1/2015,4/30/2016,5/4/2025,Permit,740 NW 96 Ter
BUL-10482,Residential Re-Roofing,Complete,,7/19/2010,7/12/2010,1/15/2011,5/4/2025,Permit,1440 LACOSTA DR W
BUL-104960,Residential Re-Roofing,Complete,,9/14/2015,9/3/2015,3/12/2016,9/14/2015,Permit,11121 NW 22 St
BUL-105003,Residential Re-Roofing,Complete,,9/10/2015,9/3/2015,3/8/2016,5/1/2025,Permit,16213 SW 2 Dr
BUL-105017,Residential Re-Roofing,Complete,,9/22/2015,9/3/2015,3/20/2016,5/5/2025,Permit,7620 NW 15 Ct
BUL-10507,Residential Re-Roofing,Complete,,7/13/2010,7/13/2010,1/9/2011,7/5/2023,Permit,700 NW 89 AVE
BUL-105075,RESIDENTIAL MISCELLANEOUS (LEGACY) - RESIDENTIAL PORCH ROOF - LEGACY,Complete,,12/9/2015,9/8/2015,6/6/2016,5/4/2025,Permit,200 SW 65 Ter
BUL-105079,Residential Re-Roofing,Complete,,9/23/2015,9/8/2015,3/21/2016,5/4/2025,Permit,9944 SW 16 st
BUL-105080,Residential Re-Roofing,Complete,,9/16/2015,9/8/2015,3/14/2016,5/5/2025,Permit,10870 S GOLFVIEW Dr
BUL-105087,RESIDENTIAL MISCELLANEOUS (LEGACY) - RESIDENTIAL ROOF FLAT & SLOPE - LEGACY,Complete,,9/24/2015,9/8/2015,3/22/2016,5/1/2025,Permit,220 SW 70 Ave
BUL-105112,Residential Re-Roofing,Complete,,9/15/2015,9/8/2015,3/13/2016,5/2/2025,Permit,220 SW 68 Ave
BUL-10512,Residential Re-Roofing,Complete,,7/20/2010,7/13/2010,1/16/2011,5/1/2025,Permit,11011 NW 17TH CT
BUL-10513,Residential Re-Roofing,Complete,,7/29/2010,7/13/2010,1/25/2011,5/3/2025,Permit,301 NW 98 TER
BUL-105167,Residential Re-Roofing,Complete,,10/12/2015,9/9/2015,4/9/2016,5/5/2025,Permit,1161 NW 85 Way
BUL-105243,Residential Re-Roofing,Complete,,9/21/2015,9/10/2015,3/19/2016,5/2/2025,Permit,10225 SW 12 St
BUL-10528,Residential Re-Roofing,Complete,,7/26/2010,7/13/2010,1/22/2011,5/2/2025,Permit,10330 NW 18 PL
BUL-10531,Residential Re-Roofing,Complete,,9/8/2010,7/13/2010,3/7/2011,5/4/2025,Permit,1145 NW 98 TER
BUL-105325,Residential Re-Roofing,Complete,,9/24/2015,9/14/2015,3/22/2016,5/4/2025,Permit,11216 NW 14 Ct
BUL-105327,Residential Re-Roofing,Complete,,9/24/2015,9/14/2015,3/22/2016,5/3/2025,Permit,11218 NW 14 Ct
BUL-105328,Residential Re-Roofing,Complete,,9/24/2015,9/14/2015,3/22/2016,5/3/2025,Permit,11220 NW 14 Ct
BUL-105329,Residential Re-Roofing,Complete,,9/24/2015,9/14/2015,3/22/2016,5/5/2025,Permit,11222 NW 14 Ct
BUL-105331,Residential Re-Roofing,Complete,,9/24/2015,9/14/2015,3/22/2016,5/1/2025,Permit,11224 NW 14 Ct
BUL-105360,Residential Re-Roofing,Complete,,10/14/2015,9/14/2015,4/11/2016,5/3/2025,Permit,1525 ENCINO Cir
BUL-105365,Residential Re-Roofing,Complete,,10/14/2015,9/14/2015,4/11/2016,10/14/2015,Permit,1523 ENCINO Cir WEST
BUL-105386,Residential Re-Roofing,Complete,,9/24/2015,9/14/2015,3/22/2016,5/4/2025,Permit,410 NW 195 Ave
BUL-10541,Residential Re-Roofing,Complete,,7/21/2010,7/14/2010,1/17/2011,5/5/2025,Permit,17264 NW 7TH ST
BUL-105424,Residential Re-Roofing,Complete,,9/23/2015,9/15/2015,3/21/2016,5/4/2025,Permit,1295 SW 101 TER
BUL-105431,Residential Re-Roofing,Complete,,9/23/2015,9/15/2015,3/21/2016,9/23/2015,Permit,10125 SW 16 ST
BUL-105435,Residential Re-Roofing,Complete,,9/23/2015,9/15/2015,3/21/2016,5/5/2025,Permit,1570 SW 101 TER
BUL-105437,Residential Re-Roofing,Complete,,9/23/2015,9/15/2015,3/21/2016,5/4/2025,Permit,10108 SW 13 ST
BUL-105438,Residential Re-Roofing,Complete,,9/23/2015,9/15/2015,3/21/2016,5/5/2025,Permit,1285 SW 101 WAY
BUL-105440,Residential Re-Roofing,Complete,,9/23/2015,9/15/2015,3/21/2016,5/3/2025,Permit,10115 SW 13 ST
BUL-105447,Residential Re-Roofing,Complete,,9/23/2015,9/15/2015,3/21/2016,5/4/2025,Permit,1470 SW 101 TER
BUL-105451,Residential Re-Roofing,Complete,,9/23/2015,9/15/2015,3/21/2016,9/23/2015,Permit,1375 SW 101 Way
BUL-105465,Residential Re-Roofing,Complete,,9/23/2015,9/15/2015,3/21/2016,5/5/2025,Permit,1525 SW 101 WAY
BUL-105509,Residential Re-Roofing,Complete,,9/17/2015,9/15/2015,3/15/2016,9/17/2015,Permit,420 NW 202 Way
BUL-105510,Residential Re-Roofing,Complete,,9/23/2015,9/15/2015,3/21/2016,5/4/2025,Permit,1265 SW 101 TER
BUL-10558,Residential Re-Roofing,Complete,,7/19/2010,7/14/2010,1/15/2011,5/1/2025,Permit,12342 NW 11TH CT
BUL-105628,Residential Re-Roofing,Complete,,9/30/2015,9/17/2015,3/28/2016,9/30/2015,Permit,8511 JOHNSON St
